scenario_id,session_id,session_deal_id,mode,deal_count,max_days,policy,account_name,target,stage,segment,region,forecast_category,amount,outcome,ml_prob,agent_market_prob,consensus_market_prob,market_prob,fng_prob,oracle_shadow_prob,ml_right,agent_market_right,consensus_market_right,market_right,fng_right,ml_brier,agent_market_brier,consensus_market_brier,market_brier,fng_brier,oracle_shadow_brier,ml_log_loss,agent_market_log_loss,consensus_market_log_loss,market_log_loss,fng_log_loss,agent_market_move_from_ml,consensus_market_move_from_ml,human_consensus_delta,market_move_from_ml,fng_move_from_ml,per_deal_winner_brier,signal_layer_winner_brier,per_deal_winner_abs_error
scenario_0001,game_e8e3e54d1d0ae485,sd_fb0c91ad6cefa8d9,team,1,5,hold_ml,Vector Insurance 10044,legal_approved_by_date,Negotiation,Enterprise,Central,Commit,172000,0,0.499448,0.4751682007033195,0.4751682007033195,0.4751682007033195,0.499448,0.05,1,1,1,1,1,0.249448304704,0.22578481895963012,0.22578481895963012,0.22578481895963012,0.249448304704,0.0025000000000000005,0.6920437895197921,0.6446774500159216,0.6446774500159216,0.6446774500159216,0.6920437895197921,-0.024279799296680504,-0.024279799296680504,0,-0.024279799296680504,0,market,agentMarket,market
scenario_0002,game_5705e5ef695efe70,sd_9c0061939c2900b1,focus,1,5,hold_ml,Vector Insurance 10044,legal_approved_by_date,Negotiation,Enterprise,Central,Commit,172000,0,0.499448,0.4751682007033195,0.4751682007033195,0.4751682007033195,0.499448,0.05,1,1,1,1,1,0.249448304704,0.22578481895963012,0.22578481895963012,0.22578481895963012,0.249448304704,0.0025000000000000005,0.6920437895197921,0.6446774500159216,0.6446774500159216,0.6446774500159216,0.6920437895197921,-0.024279799296680504,-0.024279799296680504,0,-0.024279799296680504,0,market,agentMarket,market
scenario_0003,game_86d14b0048ba5cd6,sd_67a82160b36415e4,silent,1,5,hold_ml,Vector Insurance 10044,legal_approved_by_date,Negotiation,Enterprise,Central,Commit,172000,0,0.499448,0.499448,0.499448,0.499448,0.499448,0.05,1,1,1,1,1,0.249448304704,0.249448304704,0.249448304704,0.249448304704,0.249448304704,0.0025000000000000005,0.6920437895197921,0.6920437895197921,0.6920437895197921,0.6920437895197921,0.6920437895197921,0,0,0,0,0,ml,ml,ml
scenario_0004,game_59446c52649aafa6,sd_f0cb50a25a958e45,team,3,5,hold_ml,Vector Insurance 10044,legal_approved_by_date,Negotiation,Enterprise,Central,Commit,172000,0,0.499448,0.4751682007033195,0.4751682007033195,0.4751682007033195,0.499448,0.05,1,1,1,1,1,0.249448304704,0.22578481895963012,0.22578481895963012,0.22578481895963012,0.249448304704,0.0025000000000000005,0.6920437895197921,0.6446774500159216,0.6446774500159216,0.6446774500159216,0.6920437895197921,-0.024279799296680504,-0.024279799296680504,0,-0.024279799296680504,0,market,agentMarket,market
scenario_0004,game_59446c52649aafa6,sd_332d389e19bb4ce4,team,3,5,hold_ml,Orion Logistics 10034,closed_above_threshold,Business Case,Strategic,EMEA,,1102000,0,0.468608,0.468608,0.468608,0.468608,0.468608,0.05,1,1,1,1,1,0.219593457664,0.219593457664,0.219593457664,0.219593457664,0.219593457664,0.0025000000000000005,0.6322553003425717,0.6322553003425717,0.6322553003425717,0.6322553003425717,0.6322553003425717,0,0,0,0,0,ml,ml,ml
scenario_0004,game_59446c52649aafa6,sd_c489af99496b3c9e,team,3,5,hold_ml,Cobalt BioSystems 10050,closed_above_threshold,Business Case,Commercial,West,Pipeline,153000,1,0.570176,0.570176,0.570176,0.570176,0.570176,0.95,1,1,1,1,1,0.18474867097599998,0.18474867097599998,0.18474867097599998,0.18474867097599998,0.18474867097599998,0.0025000000000000044,0.5618101938839585,0.5618101938839585,0.5618101938839585,0.5618101938839585,0.5618101938839585,0,0,0,0,0,ml,ml,ml
scenario_0005,game_a77d87552af64b15,sd_a777d9836cb6e96b,focus,3,5,hold_ml,Vector Insurance 10044,legal_approved_by_date,Negotiation,Enterprise,Central,Commit,172000,0,0.499448,0.4751682007033195,0.4751682007033195,0.4751682007033195,0.499448,0.05,1,1,1,1,1,0.249448304704,0.22578481895963012,0.22578481895963012,0.22578481895963012,0.249448304704,0.0025000000000000005,0.6920437895197921,0.6446774500159216,0.6446774500159216,0.6446774500159216,0.6920437895197921,-0.024279799296680504,-0.024279799296680504,0,-0.024279799296680504,0,market,agentMarket,market
scenario_0005,game_a77d87552af64b15,sd_f5b2cf5dc0fed6e1,focus,3,5,hold_ml,Orion Logistics 10034,closed_above_threshold,Business Case,Strategic,EMEA,,1102000,0,0.468608,0.468608,0.468608,0.468608,0.468608,0.05,1,1,1,1,1,0.219593457664,0.219593457664,0.219593457664,0.219593457664,0.219593457664,0.0025000000000000005,0.6322553003425717,0.6322553003425717,0.6322553003425717,0.6322553003425717,0.6322553003425717,0,0,0,0,0,ml,ml,ml
scenario_0005,game_a77d87552af64b15,sd_9c08ff290a0c6416,focus,3,5,hold_ml,Cobalt BioSystems 10050,closed_above_threshold,Business Case,Commercial,West,Pipeline,153000,1,0.570176,0.570176,0.570176,0.570176,0.570176,0.95,1,1,1,1,1,0.18474867097599998,0.18474867097599998,0.18474867097599998,0.18474867097599998,0.18474867097599998,0.0025000000000000044,0.5618101938839585,0.5618101938839585,0.5618101938839585,0.5618101938839585,0.5618101938839585,0,0,0,0,0,ml,ml,ml
scenario_0006,game_89e93b9f1d24e911,sd_4792a7efa132496e,silent,3,5,hold_ml,Orion Logistics 10034,closed_above_threshold,Business Case,Strategic,EMEA,,1102000,0,0.468608,0.5031976373556429,0.5031976373556429,0.5031976373556429,0.468608,0.05,1,0,0,0,1,0.219593457664,0.2532078622403011,0.2532078622403011,0.2532078622403011,0.219593457664,0.0025000000000000005,0.6322553003425717,0.69956299264882,0.69956299264882,0.69956299264882,0.6322553003425717,0.03458963735564291,0.03458963735564291,0,0.03458963735564291,0,ml,ml,ml
